order,lat,lon,alt_m
1,35.59524230870102,129.08772061597665,350.0
2,35.604561770617345,129.1117051134458,350.0
3,35.619574176383296,129.11255412220575,350.0
4,35.620609410858286,129.12444024484537,350.0
5,35.588165696184085,129.12635051455527,350.0
6,35.572111549212494,129.11234187001577,350.0
7,35.57763591992067,129.10554979993603,350.0
8,35.595069715838484,129.11913394009554,350.0
9,35.59903925752186,129.1114928612558,350.0
10,35.58851091130766,129.1000312429962,350.0
11,35.57401059461602,129.09918223423625,350.0
12,35.573665316982016,129.08496133750674,350.0
13,35.5948971226038,129.0754099889571,350.0
14,35.6074954506839,129.06819341449733,350.0
15,35.619746716393095,129.06522188383744,350.0
16,35.6192290952469,129.07371197143715,350.0
