order,lat,lon,alt_m
1,35.59765856970056,129.09621070357636,600.0
2,35.614742904975444,129.10151700832614,600.0
3,35.62837324224034,129.09812097328626,600.0
4,35.63130604901126,129.11658691381564,600.0
5,35.59524230870102,129.12826078426522,600.0
6,35.565723520666054,129.10109250394615,600.0
7,35.56624148790001,129.0607645878476,600.0
8,35.58747526147152,129.07074044077726,600.0
9,35.60956621890901,129.05291125681788,600.0
10,35.6088759687893,129.0401761254183,600.0
11,35.6235425024266,129.0401761254183,600.0
12,35.6323411315943,129.05864206594768,600.0
13,35.613189934330755,129.0694669276373,600.0
