order,lat,lon,alt_m
1,35.59265337668783,129.0889941291166,300.0
2,35.60628747780102,129.09642295576634,300.0
3,35.608185712714246,129.11191736563578,300.0
4,35.620954486038535,129.11382763534573,300.0
5,35.61129181815335,129.12910979302518,300.0
6,35.60024733982683,129.12125646199547,300.0
7,35.59179038074311,129.1255015057953,300.0
8,35.57297475724939,129.11106835687582,300.0
9,35.57660012943362,129.10215376489614,300.0
10,35.594379340666876,129.11488889629567,300.0
11,35.598521502380095,129.10661106088597,300.0
12,35.57435587076179,129.09323917291647,300.0
13,35.58436823158713,129.077532510857,300.0
14,35.607668016749784,129.06755665792735,300.0
15,35.62198970264498,129.06437287507748,300.0
16,35.621472096016944,129.07349971924714,300.0
