order,lat,lon,alt_m
1,35.598521502380095,129.09599845138635,600.0
2,35.61595075018731,129.1034272780361,600.0
3,35.62871828391553,129.1000312429962,600.0
4,35.62992591805133,129.11637466162563,600.0
5,35.60249087286796,129.12762402769525,600.0
6,35.571766263393414,129.11085610468584,600.0
7,35.56624148790001,129.06373611850748,600.0
8,35.588338303931934,129.06904242325732,600.0
9,35.607668016749784,129.05376026557784,600.0
10,35.607150317435504,129.04060062979832,600.0
11,35.62302490584983,129.03656783818843,600.0
12,35.63027095302513,129.06691990135738,600.0
