order,lat,lon,alt_m
1,35.596450448318556,129.09090439882652,600.0
2,35.61457035417051,129.10109250394615,600.0
3,35.62785567693535,129.09875772985626,600.0
4,35.631478563705876,129.1140398875357,600.0
5,35.600419921524576,129.12804853207524,600.0
6,35.57262947515078,129.1144643919157,600.0
7,35.562270320210025,129.07116494515722,600.0
8,35.58799308806411,129.06670764916737,600.0
9,35.605252057957145,129.0543970221478,600.0
10,35.6074954506839,129.04272315169823,600.0
11,35.62285237291303,129.03380855971852,600.0
12,35.63044346995358,129.0664953969774,600.0
13,35.621472096016944,129.0824143112268,600.0
