order,lat,lon,alt_m
1,35.59783115698079,129.09578619919637,600.0
2,35.614742904975444,129.10172926051615,600.0
3,35.62889080419468,129.11892168790553,600.0
4,35.589891756917176,129.12486474922534,600.0
5,35.563478957296056,129.09345142510645,600.0
6,35.56382427882972,129.0626748575575,600.0
7,35.589201337089385,129.06713215354736,600.0
8,35.606977750253016,129.0546092743378,600.0
9,35.60870340532884,129.03847810789838,600.0
10,35.62630296091665,129.0442089170282,600.0
11,35.631133533944336,129.0658586404074,600.0
