order,lat,lon,alt_m
1,35.59731339402363,129.09514944262637,600.0
2,35.61353504152408,129.10130475613616,600.0
3,35.629063324101544,129.09833322547627,600.0
4,35.630961018505104,129.11552565286564,600.0
5,35.59558749330964,129.12762402769525,600.0
6,35.57159361992581,129.105974304316,600.0
7,35.56589617678272,129.06670764916737,600.0
8,35.588165696184085,129.0696791798273,600.0
9,35.60646004647232,129.0577930571877,600.0
10,35.610429023183876,129.0410251341783,600.0
11,35.62595790881733,129.04527017797813,600.0
12,35.629235843636096,129.06776891011737,600.0
