order,lat,lon,alt_m
1,35.61656278881591,129.11740747152635,600.0
2,35.612595313538094,129.1271681272406,600.0
3,35.57099338582698,129.1042810724624,600.0
4,35.56935076096779,129.08492804820142,600.0
5,35.59809183319799,129.10983454898945,600.0
6,35.600965373026185,129.096876437093,600.0
7,35.57770042113168,129.07870142300442,600.0
8,35.59015485388737,129.06961391596016,600.0
9,35.615605140387515,129.04420255366966,600.0
10,35.63297783579496,129.05312177354645,600.0
11,35.62135085896206,129.0687724801227,600.0
