corridor_id,receiver_id,order,grid_i,grid_j,X_EPSG5179,Y_EPSG5179,lat,lon,Lden_db,SEL_total_db,LAeq_day_db
corridor_0,3017,3017,55,23,1142950,1728750,35.5444319,129.0769987,-5.672745586,36.95227334,-14.17377668
corridor_0,3018,3018,54,23,1142850,1728750,35.5444463,129.0758959,-6.587162853,36.03785607,-15.08819394
corridor_0,3019,3019,53,23,1142750,1728750,35.5444607,129.0747931,-7.682291866,34.94272706,-16.18332296
corridor_0,3020,3020,52,23,1142650,1728750,35.5444751,129.0736903,-10.78593528,31.83908364,-19.28696637
corridor_0,3123,3123,50,24,1142450,1728850,35.5454052,129.0715023,-13.85809982,28.76691911,-22.35913091
corridor_0,3124,3124,51,24,1142550,1728850,35.5453909,129.0726051,-8.937556148,33.68746278,-17.43858724
corridor_0,3125,3125,52,24,1142650,1728850,35.5453765,129.0737079,-6.574118496,36.05090043,-15.07514959
corridor_0,3126,3126,53,24,1142750,1728850,35.5453621,129.0748107,-5.009182812,37.61583611,-13.5102139
corridor_0,3127,3127,54,24,1142850,1728850,35.5453476,129.0759136,-3.84022987,38.78478905,-12.34126096
corridor_0,3128,3128,55,24,1142950,1728850,35.5453332,129.0770164,-3.666451336,38.95856759,-12.16748243
corridor_0,3129,3129,56,24,1143050,1728850,35.5453188,129.0781192,-3.114437939,39.51058099,-11.61546903
corridor_0,3130,3130,57,24,1143150,1728850,35.5453044,129.079222,-2.311028362,40.31399056,-10.81205945
corridor_0,3131,3131,58,24,1143250,1728850,35.5452899,129.0803248,-2.200562359,40.42445657,-10.70159345
corridor_0,3132,3132,59,24,1143350,1728850,35.5452754,129.0814277,-1.840393902,40.78462502,-10.34142499
corridor_0,3133,3133,60,24,1143450,1728850,35.545261,129.0825305,-1.784302593,40.84071633,-10.28533368
corridor_0,3134,3134,61,24,1143550,1728850,35.5452465,129.0836333,-1.486042858,41.13897607,-9.987073949
corridor_0,3135,3135,62,24,1143650,1728850,35.545232,129.0847361,-1.731644512,40.89337441,-10.2326756
corridor_0,3136,3136,63,24,1143750,1728850,35.5452175,129.0858389,-1.486069561,41.13894936,-9.987100652
corridor_0,3137,3137,64,24,1143850,1728850,35.545203,129.0869417,-1.509655834,41.11536309,-10.01068692
corridor_0,3138,3138,65,24,1143950,1728850,35.5451885,129.0880445,-1.563927532,41.06109139,-10.06495862
corridor_0,3139,3139,66,24,1144050,1728850,35.5451739,129.0891474,-1.649258495,40.97576043,-10.15028959
corridor_0,3140,3140,67,24,1144150,1728850,35.5451594,129.0902502,-1.726452709,40.89856622,-10.2274838
corridor_0,3141,3141,68,24,1144250,1728850,35.5451448,129.091353,-2.072213055,40.55280587,-10.57324415
corridor_0,3142,3142,69,24,1144350,1728850,35.5451303,129.0924558,-2.169468761,40.45555016,-10.67049985
corridor_0,3143,3143,70,24,1144450,1728850,35.5451157,129.0935586,-2.588368298,40.03665063,-11.08939939
corridor_0,3144,3144,71,24,1144550,1728850,35.5451011,129.0946614,-3.061898113,39.56312081,-11.5629292
corridor_0,3145,3145,72,24,1144650,1728850,35.5450865,129.0957642,-3.593365551,39.03165337,-12.09439664
corridor_0,3146,3146,73,24,1144750,1728850,35.5450719,129.096867,-4.201508404,38.42351052,-12.70253949
corridor_0,3147,3147,74,24,1144850,1728850,35.5450573,129.0979698,-6.134440304,36.49057862,-14.63547139
corridor_0,3252,3252,76,25,1145050,1728950,35.5459294,129.1001933,-10.9803685,31.64465043,-19.48139959
corridor_0,3253,3253,75,25,1144950,1728950,35.545944,129.0990905,-3.417870403,39.20714852,-11.91890149
corridor_0,3254,3254,74,25,1144850,1728950,35.5459586,129.0979877,-2.848454357,39.77656457,-11.34948545
corridor_0,3255,3255,73,25,1144750,1728950,35.5459732,129.0968849,-2.320778728,40.3042402,-10.82180982
corridor_0,3256,3256,72,25,1144650,1728950,35.5459878,129.0957821,-1.593747021,41.0312719,-10.09477811
corridor_0,3257,3257,71,25,1144550,1728950,35.5460024,129.0946793,-1.445877911,41.17914101,-9.946909001
corridor_0,3258,3258,70,25,1144450,1728950,35.546017,129.0935764,-1.090912701,41.53410622,-9.591943791
corridor_0,3259,3259,69,25,1144350,1728950,35.5460316,129.0924736,-0.761525036,41.86349389,-9.262556127
corridor_0,3260,3260,68,25,1144250,1728950,35.5460462,129.0913708,-0.873181225,41.7518377,-9.374212316
corridor_0,3261,3261,67,25,1144150,1728950,35.5460607,129.090268,-0.608834148,42.01618478,-9.109865239
corridor_0,3262,3262,66,25,1144050,1728950,35.5460753,129.0891651,-0.522110821,42.1029081,-9.023141912
corridor_0,3263,3263,65,25,1143950,1728950,35.5460898,129.0880623,-0.445351482,42.17966744,-8.946382573
corridor_0,3264,3264,64,25,1143850,1728950,35.5461043,129.0869595,-0.393662334,42.23135659,-8.894693425
corridor_0,3265,3265,63,25,1143750,1728950,35.5461188,129.0858567,-0.551613689,42.07340524,-9.05264478
corridor_0,3266,3266,62,25,1143650,1728950,35.5461333,129.0847538,-0.358788372,42.26623055,-8.859819463
corridor_0,3267,3267,61,25,1143550,1728950,35.5461478,129.083651,-0.573929668,42.05108926,-9.074960759
corridor_0,3268,3268,60,25,1143450,1728950,35.5461623,129.0825482,-0.605000378,42.02001855,-9.106031468
corridor_0,3269,3269,59,25,1143350,1728950,35.5461768,129.0814454,-0.873101116,41.75191781,-9.374132207
corridor_0,3270,3270,58,25,1143250,1728950,35.5461912,129.0803425,-0.964196087,41.66082284,-9.465227178
corridor_0,3271,3271,57,25,1143150,1728950,35.5462057,129.0792397,-1.315789104,41.30922982,-9.816820195
corridor_0,3272,3272,56,25,1143050,1728950,35.5462201,129.0781369,-1.725819469,40.89919946,-10.22685056
corridor_0,3273,3273,55,25,1142950,1728950,35.5462345,129.077034,-1.88968742,40.7353315,-10.39071851
corridor_0,3274,3274,54,25,1142850,1728950,35.546249,129.0759312,-2.35175407,40.27326485,-10.85278516
corridor_0,3275,3275,53,25,1142750,1728950,35.5462634,129.0748284,-3.223988415,39.40103051,-11.72501951
corridor_0,3276,3276,52,25,1142650,1728950,35.5462778,129.0737255,-4.295880199,38.32913873,-12.79691129
corridor_0,3277,3277,51,25,1142550,1728950,35.5462922,129.0726227,-4.532109142,38.09290978,-13.03314023
corridor_0,3278,3278,50,25,1142450,1728950,35.5463066,129.0715198,-6.679394604,35.94562432,-15.18042569
corridor_0,3279,3279,49,25,1142350,1728950,35.5463209,129.070417,-10.80284202,31.8221769,-19.30387311
corridor_0,3377,3377,48,26,1142250,1729050,35.5472366,129.0693317,-9.041338802,33.58368012,-17.54236989
corridor_0,3378,3378,49,26,1142350,1729050,35.5472222,129.0704346,-5.84615028,36.77886864,-14.34718137
corridor_0,3379,3379,50,26,1142450,1729050,35.5472079,129.0715374,-3.940098644,38.68492028,-12.44112973
corridor_0,3380,3380,51,26,1142550,1729050,35.5471935,129.0726403,-2.914898754,39.71012017,-11.41592984
corridor_0,3381,3381,52,26,1142650,1729050,35.5471791,129.0737431,-2.354058147,40.27096078,-10.85508924
corridor_0,3382,3382,53,26,1142750,1729050,35.5471647,129.074846,-1.848736645,40.77628228,-10.34976774
corridor_0,3383,3383,54,26,1142850,1729050,35.5471503,129.0759488,-1.38483131,41.24018761,-9.885862401
corridor_0,3384,3384,55,26,1142950,1729050,35.5471359,129.0770517,-0.736847759,41.88817117,-9.23787885
corridor_0,3385,3385,56,26,1143050,1729050,35.5471214,129.0781545,-0.579361797,42.04565713,-9.080392888
corridor_0,3386,3386,57,26,1143150,1729050,35.547107,129.0792574,-0.214897991,42.41012093,-8.715929082
corridor_0,3387,3387,58,26,1143250,1729050,35.5470925,129.0803602,0.100272297,42.72529122,-8.400758794
corridor_0,3388,3388,59,26,1143350,1729050,35.5470781,129.0814631,0.359419941,42.98443887,-8.14161115
corridor_0,3389,3389,60,26,1143450,1729050,35.5470636,129.0825659,0.420065998,43.04508492,-8.080965093
corridor_0,3390,3390,61,26,1143550,1729050,35.5470491,129.0836687,0.462916493,43.08793542,-8.038114598
corridor_0,3391,3391,62,26,1143650,1729050,35.5470346,129.0847716,0.479762196,43.10478112,-8.021268895
corridor_0,3392,3392,63,26,1143750,1729050,35.5470201,129.0858744,0.627215504,43.25223443,-7.873815587
corridor_0,3393,3393,64,26,1143850,1729050,35.5470056,129.0869773,0.443389057,43.06840798,-8.057642034
corridor_0,3394,3394,65,26,1143950,1729050,35.5469911,129.0880801,0.544245838,43.16926476,-7.956785253
corridor_0,3395,3395,66,26,1144050,1729050,35.5469766,129.0891829,0.309729694,42.93474862,-8.191301396
corridor_0,3396,3396,67,26,1144150,1729050,35.546962,129.0902858,0.377452015,43.00247094,-8.123579076
corridor_0,3397,3397,68,26,1144250,1729050,35.5469475,129.0913886,0.150332569,42.77535149,-8.350698522
corridor_0,3398,3398,69,26,1144350,1729050,35.5469329,129.0924914,0.248725056,42.87374398,-8.252306035
corridor_0,3399,3399,70,26,1144450,1729050,35.5469183,129.0935943,-0.053933025,42.5710859,-8.554964116
corridor_0,3400,3400,71,26,1144550,1729050,35.5469038,129.0946971,-0.178746105,42.44627282,-8.679777196
corridor_0,3401,3401,72,26,1144650,1729050,35.5468892,129.0957999,-0.50353706,42.12148186,-9.004568151
corridor_0,3402,3402,73,26,1144750,1729050,35.5468746,129.0969028,-0.876995922,41.748023,-9.378027013
corridor_0,3403,3403,74,26,1144850,1729050,35.5468599,129.0980056,-1.308956982,41.31606194,-9.809988072
corridor_0,3404,3404,75,26,1144950,1729050,35.5468453,129.0991084,-1.769898296,40.85512063,-10.27092939
corridor_0,3405,3405,76,26,1145050,1729050,35.5468307,129.1002113,-2.261334301,40.36368462,-10.76236539
corridor_0,3406,3406,77,26,1145150,1729050,35.546816,129.1013141,-3.898568035,38.72645089,-12.39959913
corridor_0,3505,3505,79,27,1145350,1729150,35.547688,129.1035377,-5.521653057,37.10336587,-14.02268415
corridor_0,3506,3506,78,27,1145250,1729150,35.5477027,129.1024349,-2.661312939,39.96370599,-11.16234403
corridor_0,3507,3507,77,27,1145150,1729150,35.5477174,129.101332,-1.58305061,41.04196832,-10.0840817
corridor_0,3508,3508,76,27,1145050,1729150,35.547732,129.1002292,-0.887753368,41.73726556,-9.388784459
corridor_0,3509,3509,75,27,1144950,1729150,35.5477466,129.0991263,-0.667824627,41.9571943,-9.168855718
corridor_0,3510,3510,74,27,1144850,1729150,35.5477613,129.0980235,-0.261814953,42.36320397,-8.762846044
corridor_0,3511,3511,73,27,1144750,1729150,35.5477759,129.0969206,0.097411274,42.7224302,-8.403619817
corridor_0,3512,3512,72,27,1144650,1729150,35.5477905,129.0958178,0.423281788,43.04830071,-8.077749303
corridor_0,3513,3513,71,27,1144550,1729150,35.5478051,129.094715,0.727179646,43.35219857,-7.773851445
corridor_0,3514,3514,70,27,1144450,1729150,35.5478196,129.0936121,0.851222157,43.47624108,-7.649808934
corridor_0,3515,3515,69,27,1144350,1729150,35.5478342,129.0925093,0.977130055,43.60214898,-7.523901036
corridor_0,3516,3516,68,27,1144250,1729150,35.5478488,129.0914064,1.059416889,43.68443581,-7.441614202
corridor_0,3517,3517,67,27,1144150,1729150,35.5478633,129.0903036,1.277388691,43.90240762,-7.2236424
corridor_0,3518,3518,66,27,1144050,1729150,35.5478779,129.0892007,1.377852558,44.00287148,-7.123178533
corridor_0,3519,3519,65,27,1143950,1729150,35.5478924,129.0880979,1.32509911,43.95011803,-7.175931981
corridor_0,3520,3520,64,27,1143850,1729150,35.5479069,129.086995,1.508307575,44.1333265,-6.992723516
corridor_0,3521,3521,63,27,1143750,1729150,35.5479214,129.0858922,1.399294972,44.0243139,-7.101736119
corridor_0,3522,3522,62,27,1143650,1729150,35.547936,129.0847893,1.410349964,44.03536889,-7.090681127
corridor_0,3523,3523,61,27,1143550,1729150,35.5479504,129.0836865,1.394282459,44.01930138,-7.106748631
corridor_0,3524,3524,60,27,1143450,1729150,35.5479649,129.0825836,1.22478783,43.84980675,-7.27624326
corridor_0,3525,3525,59,27,1143350,1729150,35.5479794,129.0814808,1.145037769,43.77005669,-7.355993321
corridor_0,3526,3526,58,27,1143250,1729150,35.5479939,129.0803779,0.898318409,43.52333733,-7.602712682
corridor_0,3527,3527,57,27,1143150,1729150,35.5480083,129.079275,0.594020008,43.21903893,-7.907011083
corridor_0,3528,3528,56,27,1143050,1729150,35.5480228,129.0781722,0.416842579,43.0418615,-8.084188512
corridor_0,3529,3529,55,27,1142950,1729150,35.5480372,129.0770693,0.080920338,42.70593926,-8.420110753
corridor_0,3530,3530,54,27,1142850,1729150,35.5480516,129.0759665,-0.305455089,42.31956384,-8.80648618
corridor_0,3531,3531,53,27,1142750,1729150,35.548066,129.0748636,-0.702778698,41.92224023,-9.203809789
corridor_0,3532,3532,52,27,1142650,1729150,35.5480804,129.0737608,-1.151093365,41.47392556,-9.652124455
corridor_0,3533,3533,51,27,1142550,1729150,35.5480948,129.0726579,-1.913212658,40.71180627,-10.41424375
corridor_0,3534,3534,50,27,1142450,1729150,35.5481092,129.071555,-2.474945904,40.15007302,-10.97597699
corridor_0,3535,3535,49,27,1142350,1729150,35.5481236,129.0704522,-3.452946545,39.17207238,-11.95397764
corridor_0,3536,3536,48,27,1142250,1729150,35.5481379,129.0693493,-4.627594829,37.9974241,-13.12862592
corridor_0,3537,3537,47,27,1142150,1729150,35.5481523,129.0682464,-9.032986523,33.5920324,-17.53401761
corridor_0,3631,3631,46,28,1142050,1729250,35.5490679,129.0671611,-7.822596432,34.80242249,-16.32362752
corridor_0,3632,3632,47,28,1142150,1729250,35.5490536,129.068264,-4.100258709,38.52476022,-12.6012898
