order,grid_i,grid_j,X_EPSG5179,Y_EPSG5179,lat,lon
123,122,0,1149650,1726450,35.5227131,129.1504604
124,123,0,1149750,1726450,35.522698,129.1515628
125,124,0,1149850,1726450,35.5226829,129.1526653
126,125,0,1149950,1726450,35.5226678,129.1537678
127,126,0,1150050,1726450,35.5226527,129.1548703
128,127,0,1150150,1726450,35.5226376,129.1559727
129,127,1,1150150,1726550,35.5235389,129.1559912
130,126,1,1150050,1726550,35.523554,129.1548888
131,125,1,1149950,1726550,35.5235691,129.1537863
132,124,1,1149850,1726550,35.5235842,129.1526838
133,123,1,1149750,1726550,35.5235993,129.1515813
134,122,1,1149650,1726550,35.5236144,129.1504788
135,121,1,1149550,1726550,35.5236295,129.1493763
136,120,1,1149450,1726550,35.5236446,129.1482739
137,119,1,1149350,1726550,35.5236597,129.1471714
138,118,1,1149250,1726550,35.5236747,129.1460689
139,117,1,1149150,1726550,35.5236897,129.1449664
140,116,1,1149050,1726550,35.5237048,129.1438639
141,115,1,1148950,1726550,35.5237198,129.1427614
142,114,1,1148850,1726550,35.5237348,129.1416589
143,113,1,1148750,1726550,35.5237498,129.1405564
144,112,1,1148650,1726550,35.5237648,129.139454
145,111,1,1148550,1726550,35.5237798,129.1383515
146,110,1,1148450,1726550,35.5237948,129.137249
147,109,1,1148350,1726550,35.5238097,129.1361465
148,108,1,1148250,1726550,35.5238247,129.135044
149,107,1,1148150,1726550,35.5238396,129.1339415
150,106,1,1148050,1726550,35.5238546,129.132839
151,105,1,1147950,1726550,35.5238695,129.1317365
152,104,1,1147850,1726550,35.5238844,129.130634
153,103,1,1147750,1726550,35.5238993,129.1295315
154,102,1,1147650,1726550,35.5239142,129.128429
155,101,1,1147550,1726550,35.5239291,129.1273265
156,100,1,1147450,1726550,35.523944,129.126224
157,99,1,1147350,1726550,35.5239588,129.1251215
158,98,1,1147250,1726550,35.5239737,129.124019
159,97,1,1147150,1726550,35.5239885,129.1229165
160,96,1,1147050,1726550,35.5240034,129.121814
161,95,1,1146950,1726550,35.5240182,129.1207115
162,94,1,1146850,1726550,35.524033,129.119609
163,93,1,1146750,1726550,35.5240478,129.1185065
164,92,1,1146650,1726550,35.5240626,129.117404
165,91,1,1146550,1726550,35.5240774,129.1163014
166,90,1,1146450,1726550,35.5240921,129.1151989
167,89,1,1146350,1726550,35.5241069,129.1140964
168,88,1,1146250,1726550,35.5241217,129.1129939
169,87,1,1146150,1726550,35.5241364,129.1118914
170,86,1,1146050,1726550,35.5241511,129.1107889
171,85,1,1145950,1726550,35.5241658,129.1096864
172,84,1,1145850,1726550,35.5241806,129.1085839
173,83,1,1145750,1726550,35.5241953,129.1074813
174,82,1,1145650,1726550,35.52421,129.1063788
175,81,1,1145550,1726550,35.5242246,129.1052763
176,80,1,1145450,1726550,35.5242393,129.1041738
177,79,1,1145350,1726550,35.524254,129.1030713
178,78,1,1145250,1726550,35.5242686,129.1019688
179,77,1,1145150,1726550,35.5242833,129.1008662
180,76,1,1145050,1726550,35.5242979,129.0997637
181,75,1,1144950,1726550,35.5243125,129.0986612
182,74,1,1144850,1726550,35.5243271,129.0975587
183,73,1,1144750,1726550,35.5243417,129.0964562
184,72,1,1144650,1726550,35.5243563,129.0953536
185,71,1,1144550,1726550,35.5243709,129.0942511
186,70,1,1144450,1726550,35.5243855,129.0931486
187,69,1,1144350,1726550,35.5244,129.0920461
188,68,1,1144250,1726550,35.5244146,129.0909435
189,67,1,1144150,1726550,35.5244291,129.089841
190,66,1,1144050,1726550,35.5244437,129.0887385
191,65,1,1143950,1726550,35.5244582,129.0876359
192,64,1,1143850,1726550,35.5244727,129.0865334
193,63,1,1143750,1726550,35.5244872,129.0854309
194,62,1,1143650,1726550,35.5245017,129.0843284
195,61,1,1143550,1726550,35.5245162,129.0832258
196,60,1,1143450,1726550,35.5245306,129.0821233
197,59,1,1143350,1726550,35.5245451,129.0810208
198,58,1,1143250,1726550,35.5245595,129.0799182
199,57,1,1143150,1726550,35.524574,129.0788157
200,56,1,1143050,1726550,35.5245884,129.0777131
201,55,1,1142950,1726550,35.5246028,129.0766106
202,54,1,1142850,1726550,35.5246172,129.0755081
203,53,1,1142750,1726550,35.5246316,129.0744055
204,52,1,1142650,1726550,35.524646,129.073303
205,51,1,1142550,1726550,35.5246604,129.0722005
206,50,1,1142450,1726550,35.5246748,129.0710979
207,49,1,1142350,1726550,35.5246891,129.0699954
208,48,1,1142250,1726550,35.5247035,129.0688928
209,47,1,1142150,1726550,35.5247178,129.0677903
210,46,1,1142050,1726550,35.5247322,129.0666877
211,45,1,1141950,1726550,35.5247465,129.0655852
212,44,1,1141850,1726550,35.5247608,129.0644827
213,43,1,1141750,1726550,35.5247751,129.0633801
214,42,1,1141650,1726550,35.5247894,129.0622776
215,41,1,1141550,1726550,35.5248036,129.061175
216,40,1,1141450,1726550,35.5248179,129.0600725
217,39,1,1141350,1726550,35.5248322,129.0589699
218,38,1,1141250,1726550,35.5248464,129.0578674
219,37,1,1141150,1726550,35.5248607,129.0567648
220,36,1,1141050,1726550,35.5248749,129.0556623
221,35,1,1140950,1726550,35.5248891,129.0545597
222,34,1,1140850,1726550,35.5249033,129.0534572
223,33,1,1140750,1726550,35.5249175,129.0523546
224,32,1,1140650,1726550,35.5249317,129.051252
225,31,1,1140550,1726550,35.5249459,129.0501495
226,30,1,1140450,1726550,35.52496,129.0490469
227,29,1,1140350,1726550,35.5249742,129.0479444
228,28,1,1140250,1726550,35.5249884,129.0468418
229,27,1,1140150,1726550,35.5250025,129.0457393
230,26,1,1140050,1726550,35.5250166,129.0446367
231,25,1,1139950,1726550,35.5250307,129.0435341
232,24,1,1139850,1726550,35.5250448,129.0424316
233,23,1,1139750,1726550,35.5250589,129.041329
234,22,1,1139650,1726550,35.525073,129.0402265
235,21,1,1139550,1726550,35.5250871,129.0391239
236,20,1,1139450,1726550,35.5251012,129.0380213
237,19,1,1139350,1726550,35.5251152,129.0369188
238,18,1,1139250,1726550,35.5251293,129.0358162
239,17,1,1139150,1726550,35.5251433,129.0347136
240,16,1,1139050,1726550,35.5251573,129.0336111
241,15,1,1138950,1726550,35.5251714,129.0325085
242,14,1,1138850,1726550,35.5251854,129.0314059
243,13,1,1138750,1726550,35.5251994,129.0303034
244,12,1,1138650,1726550,35.5252133,129.0292008
245,11,1,1138550,1726550,35.5252273,129.0280982
246,10,1,1138450,1726550,35.5252413,129.0269956
247,9,1,1138350,1726550,35.5252552,129.0258931
248,8,1,1138250,1726550,35.5252692,129.0247905
249,7,1,1138150,1726550,35.5252831,129.0236879
250,6,1,1138050,1726550,35.5252971,129.0225854
251,5,1,1137950,1726550,35.525311,129.0214828
252,4,1,1137850,1726550,35.5253249,129.0203802
253,3,1,1137750,1726550,35.5253388,129.0192776
254,2,1,1137650,1726550,35.5253527,129.018175
255,1,1,1137550,1726550,35.5253665,129.0170725
256,0,1,1137450,1726550,35.5253804,129.0159699
257,0,2,1137450,1726650,35.5262818,129.0159868
258,1,2,1137550,1726650,35.5262679,129.0170894
259,2,2,1137650,1726650,35.526254,129.018192
260,3,2,1137750,1726650,35.5262401,129.0192946
261,4,2,1137850,1726650,35.5262262,129.0203972
262,5,2,1137950,1726650,35.5262123,129.0214998
263,6,2,1138050,1726650,35.5261984,129.0226024
264,7,2,1138150,1726650,35.5261845,129.023705
265,8,2,1138250,1726650,35.5261705,129.0248076
266,9,2,1138350,1726650,35.5261566,129.0259101
267,10,2,1138450,1726650,35.5261426,129.0270127
268,11,2,1138550,1726650,35.5261287,129.0281153
269,12,2,1138650,1726650,35.5261147,129.0292179
270,13,2,1138750,1726650,35.5261007,129.0303205
271,14,2,1138850,1726650,35.5260867,129.0314231
272,15,2,1138950,1726650,35.5260727,129.0325256
273,16,2,1139050,1726650,35.5260587,129.0336282
274,17,2,1139150,1726650,35.5260447,129.0347308
275,18,2,1139250,1726650,35.5260306,129.0358334
276,19,2,1139350,1726650,35.5260166,129.036936
277,20,2,1139450,1726650,35.5260025,129.0380385
278,21,2,1139550,1726650,35.5259884,129.0391411
279,22,2,1139650,1726650,35.5259744,129.0402437
280,23,2,1139750,1726650,35.5259603,129.0413463
281,24,2,1139850,1726650,35.5259462,129.0424488
282,25,2,1139950,1726650,35.5259321,129.0435514
283,26,2,1140050,1726650,35.525918,129.044654
284,27,2,1140150,1726650,35.5259038,129.0457565
285,28,2,1140250,1726650,35.5258897,129.0468591
286,29,2,1140350,1726650,35.5258755,129.0479617
287,30,2,1140450,1726650,35.5258614,129.0490643
288,31,2,1140550,1726650,35.5258472,129.0501668
289,32,2,1140650,1726650,35.525833,129.0512694
290,33,2,1140750,1726650,35.5258188,129.052372
291,34,2,1140850,1726650,35.5258046,129.0534745
292,35,2,1140950,1726650,35.5257904,129.0545771
293,36,2,1141050,1726650,35.5257762,129.0556797
294,37,2,1141150,1726650,35.525762,129.0567822
295,38,2,1141250,1726650,35.5257478,129.0578848
296,39,2,1141350,1726650,35.5257335,129.0589874
297,40,2,1141450,1726650,35.5257192,129.0600899
298,41,2,1141550,1726650,35.525705,129.0611925
299,42,2,1141650,1726650,35.5256907,129.062295
300,43,2,1141750,1726650,35.5256764,129.0633976
301,44,2,1141850,1726650,35.5256621,129.0645002
302,45,2,1141950,1726650,35.5256478,129.0656027
303,46,2,1142050,1726650,35.5256335,129.0667053
304,47,2,1142150,1726650,35.5256191,129.0678078
305,48,2,1142250,1726650,35.5256048,129.0689104
306,49,2,1142350,1726650,35.5255905,129.0700129
307,50,2,1142450,1726650,35.5255761,129.0711155
308,51,2,1142550,1726650,35.5255617,129.072218
309,52,2,1142650,1726650,35.5255474,129.0733206
310,53,2,1142750,1726650,35.525533,129.0744231
311,54,2,1142850,1726650,35.5255186,129.0755257
312,55,2,1142950,1726650,35.5255041,129.0766282
313,56,2,1143050,1726650,35.5254897,129.0777308
314,57,2,1143150,1726650,35.5254753,129.0788333
315,58,2,1143250,1726650,35.5254609,129.0799359
316,59,2,1143350,1726650,35.5254464,129.0810384
317,60,2,1143450,1726650,35.5254319,129.082141
318,61,2,1143550,1726650,35.5254175,129.0832435
319,62,2,1143650,1726650,35.525403,129.0843461
320,63,2,1143750,1726650,35.5253885,129.0854486
321,64,2,1143850,1726650,35.525374,129.0865512
322,65,2,1143950,1726650,35.5253595,129.0876537
323,66,2,1144050,1726650,35.525345,129.0887562
324,67,2,1144150,1726650,35.5253304,129.0898588
325,68,2,1144250,1726650,35.5253159,129.0909613
326,69,2,1144350,1726650,35.5253013,129.0920639
327,70,2,1144450,1726650,35.5252868,129.0931664
328,71,2,1144550,1726650,35.5252722,129.0942689
329,72,2,1144650,1726650,35.5252576,129.0953715
330,73,2,1144750,1726650,35.525243,129.096474
331,74,2,1144850,1726650,35.5252284,129.0975765
332,75,2,1144950,1726650,35.5252138,129.0986791
333,76,2,1145050,1726650,35.5251992,129.0997816
334,77,2,1145150,1726650,35.5251846,129.1008841
335,78,2,1145250,1726650,35.5251699,129.1019867
336,79,2,1145350,1726650,35.5251553,129.1030892
337,80,2,1145450,1726650,35.5251406,129.1041917
338,81,2,1145550,1726650,35.5251259,129.1052943
339,82,2,1145650,1726650,35.5251113,129.1063968
340,83,2,1145750,1726650,35.5250966,129.1074993
341,84,2,1145850,1726650,35.5250819,129.1086019
342,85,2,1145950,1726650,35.5250672,129.1097044
343,86,2,1146050,1726650,35.5250524,129.1108069
344,87,2,1146150,1726650,35.5250377,129.1119094
345,88,2,1146250,1726650,35.525023,129.113012
346,89,2,1146350,1726650,35.5250082,129.1141145
347,90,2,1146450,1726650,35.5249934,129.115217
348,91,2,1146550,1726650,35.5249787,129.1163195
349,92,2,1146650,1726650,35.5249639,129.117422
350,93,2,1146750,1726650,35.5249491,129.1185246
351,94,2,1146850,1726650,35.5249343,129.1196271
352,95,2,1146950,1726650,35.5249195,129.1207296
353,96,2,1147050,1726650,35.5249047,129.1218321
354,97,2,1147150,1726650,35.5248898,129.1229346
355,98,2,1147250,1726650,35.524875,129.1240372
356,99,2,1147350,1726650,35.5248601,129.1251397
357,100,2,1147450,1726650,35.5248453,129.1262422
358,101,2,1147550,1726650,35.5248304,129.1273447
359,102,2,1147650,1726650,35.5248155,129.1284472
360,103,2,1147750,1726650,35.5248006,129.1295497
361,104,2,1147850,1726650,35.5247857,129.1306522
362,105,2,1147950,1726650,35.5247708,129.1317547
363,106,2,1148050,1726650,35.5247559,129.1328572
364,107,2,1148150,1726650,35.5247409,129.1339598
365,108,2,1148250,1726650,35.524726,129.1350623
366,109,2,1148350,1726650,35.524711,129.1361648
367,110,2,1148450,1726650,35.5246961,129.1372673
368,111,2,1148550,1726650,35.5246811,129.1383698
369,112,2,1148650,1726650,35.5246661,129.1394723
370,113,2,1148750,1726650,35.5246511,129.1405748
371,114,2,1148850,1726650,35.5246361,129.1416773
372,115,2,1148950,1726650,35.5246211,129.1427798
373,116,2,1149050,1726650,35.5246061,129.1438823
374,117,2,1149150,1726650,35.524591,129.1449848
