order,lat,lon,alt_m
1,35.59627785806108,129.09302692072646,600.0
2,35.613880147228485,129.10151700832614,600.0
3,35.62388756494975,129.11488889629567,600.0
4,35.61336248811353,129.12719952331526,600.0
5,35.588165696184085,129.1261382623653,600.0
6,35.58315990962862,129.11955844447553,600.0
7,35.607668016749784,129.11488889629567,600.0
8,35.58782047957204,129.10151700832614,600.0
9,35.57228419156397,129.11043160030584,600.0
10,35.56434225834015,129.07838151961698,600.0
11,35.60628747780102,129.0603400834676,600.0
12,35.61612329801432,129.0439966648382,600.0
13,35.630788502693576,129.0546092743378,600.0
14,35.62267983960396,129.0743487280071,600.0
