order,lat,lon,alt_m
1,35.593516363329115,129.08305106779682,450.0
2,35.59662303820388,129.0998189908062,450.0
3,35.61664093926197,129.10639880869599,450.0
4,35.62302490584983,129.11807267914557,450.0
5,35.6116369335356,129.12741177550527,450.0
6,35.58747526147152,129.12656276674525,450.0
7,35.56779536951269,129.10448853898603,450.0
8,35.57504641858868,129.10066799956618,450.0
9,35.59800374388885,129.12146871418548,450.0
10,35.60732288424581,129.11892168790553,450.0
11,35.60318117807271,129.11085610468584,450.0
12,35.58177894792176,129.09536169481638,450.0
13,35.56537820731667,129.09387592948642,450.0
14,35.565723520666054,129.077957015237,450.0
15,35.58540392161109,129.07901827618696,450.0
16,35.601455403895436,129.0635238663175,450.0
17,35.614742904975444,129.06543413602742,450.0
18,35.618366385891484,129.04760495206804,450.0
19,35.62699306064784,129.05354801338783,450.0
20,35.62250730592262,129.0743487280071,450.0
21,35.61198204742898,129.07010368420725,450.0
