order,lat,lon,alt_m
1,35.59662303820388,129.09323917291647,600.0
2,35.61612329801432,129.1004557473762,600.0
3,35.63044346995358,129.1004557473762,600.0
4,35.631651078028185,129.11340313096574,600.0
5,35.60628747780102,129.12762402769525,600.0
6,35.577981180439785,129.11849718352553,600.0
7,35.562270320210025,129.07880602399698,600.0
8,35.58902873120215,129.06776891011737,600.0
9,35.605079486680474,129.05715630061772,600.0
10,35.606977750253016,129.04229864731823,600.0
11,35.62285237291303,129.03699234256842,600.0
12,35.63199610555586,129.05970332689762,600.0
13,35.61612329801432,129.0715894495372,600.0
