order,lat,lon,alt_m
1,35.59809183319799,129.08980837605853,350.0
2,35.60684896597835,129.108993113152,350.0
3,35.622034845581545,129.1143783025116,350.0
4,35.61327937503965,129.1278412759105,350.0
5,35.60110220568256,129.12279266088592,350.0
6,35.59124965644221,129.12481210689577,350.0
7,35.57359413964351,129.11084427199435,350.0
8,35.58071156043494,129.10461764679735,350.0
9,35.59863918207216,129.115892887019,350.0
10,35.60110220568256,129.1103394104919,350.0
11,35.59070225703625,129.09872759593532,350.0
12,35.57578418263296,129.09855930876785,350.0
13,35.57373101908451,129.08341346369406,350.0
14,35.5896074469956,129.08223545352163,350.0
15,35.60725943306348,129.06759446995028,350.0
16,35.621487656753985,129.06439701376806,350.0
17,35.62121406093609,129.07331623364485,350.0
