order,lat,lon,alt_m
1,35.5940341508482,129.08432458093677,400.0
2,35.608358277291316,129.10470079117604,400.0
3,35.619574176383296,129.10618655650597,400.0
4,35.62578538220924,129.11276637439576,400.0
5,35.60249087286796,129.13038330616516,400.0
6,35.57418323287493,129.11361538315575,400.0
7,35.57970746071096,129.10788457402595,400.0
8,35.60093766438479,129.12168096637544,400.0
9,35.604561770617345,129.1117051134458,400.0
10,35.58782047957204,129.09345142510645,400.0
11,35.56606883252738,129.0968474601463,400.0
12,35.56520555008396,129.07689575428702,400.0
13,35.58626698639818,129.08092854589688,400.0
14,35.60387147732252,129.06118909222758,400.0
15,35.618711470750405,129.06564638821743,400.0
16,35.61819384290366,129.0754099889571,400.0
17,35.61198204742898,129.07201395391718,400.0
