order,lat,lon,alt_m
1,35.605070250942596,129.0967081499255,750.0
2,35.6243603563259,129.11000283615695,750.0
3,35.609995826482155,129.12767298874303,750.0
4,35.5827645450516,129.12228779938349,750.0
5,35.56839254758066,129.1007470419452,750.0
6,35.56962453411639,129.08324517652656,750.0
7,35.594533974275315,129.11740747152635,750.0
8,35.60000753788071,129.10663709280718,750.0
9,35.57797416574633,129.07836484866945,750.0
10,35.58974429906943,129.06523844960552,750.0
11,35.61806764175117,129.04689514834945,750.0
12,35.63420882846061,129.05564608105874,750.0
13,35.62025646820196,129.07213822347245,750.0
