order,lat,lon,alt_m
1,35.59603924158176,129.09165953490088,350.0
2,35.60739625495723,129.11202228216678,350.0
3,35.619846067805675,129.11320029233917,350.0
4,35.618888458690556,129.1256535427332,350.0
5,35.600144372174796,129.12262437371842,350.0
6,35.5811221615686,129.12211951221596,350.0
7,35.58043782517632,129.11505145118153,350.0
8,35.59754448058057,129.11370515384164,350.0
9,35.597407641841336,129.10663709280718,350.0
10,35.57537355413326,129.10949797465446,350.0
11,35.5730466195407,129.08863036588613,350.0
12,35.58988115090935,129.0738210951473,350.0
13,35.602196858510894,129.07297965930988,350.0
14,35.61806764175117,129.06338729076313,350.0
15,35.621624454311906,129.0726430849749,350.0
