order,lat,lon,alt_m
1,35.5942067459436,129.0887818769266,600.0
2,35.60594233934184,129.10172926051615,600.0
3,35.62561285522887,129.10109250394615,600.0
4,35.62768315442243,129.11892168790553,600.0
5,35.60024733982683,129.12932204521516,600.0
6,35.575909595000944,129.11828493133555,600.0
7,35.57936220763334,129.11106835687582,600.0
8,35.604561770617345,129.1178604269556,600.0
9,35.605079486680474,129.11021934811586,600.0
10,35.585231307537356,129.1004557473762,600.0
11,35.56710475918283,129.10066799956618,600.0
12,35.562270320210025,129.0718017017272,600.0
13,35.58713004188256,129.07519773676708,600.0
14,35.60870340532884,129.05927882251765,600.0
15,35.60956621890901,129.0410251341783,600.0
16,35.63285866785962,129.04866621301804,600.0
17,35.62889080419468,129.0728629626772,600.0
18,35.614742904975444,129.06861791887732,600.0
