order,lat,lon,alt_m
1,35.59610526743145,129.09366367729643,600.0
2,35.61646839255167,129.10066799956618,600.0
3,35.62871828391553,129.11679916600562,600.0
4,35.59248077824315,129.12698727112524,600.0
5,35.56486023450248,129.09345142510645,600.0
6,35.56434225834015,129.06182584879755,600.0
7,35.5904095678807,129.06861791887732,600.0
8,35.60784058244348,129.0546092743378,600.0
9,35.60784058244348,129.0412373863683,600.0
10,35.62509527205407,129.0433599082682,600.0
11,35.63044346995358,129.06755665792735,600.0
