order,lat,lon,alt_m
1,35.60024733982683,129.09663520795633,400.0
2,35.622162237443135,129.11297862658577,400.0
3,35.61198204742898,129.12762402769525,400.0
4,35.58419561528077,129.12168096637544,400.0
5,35.569521869295286,129.10088025175617,400.0
6,35.56934922099117,129.08474908531676,400.0
7,35.59627785806108,129.11679916600562,400.0
8,35.600419921524576,129.10958259154586,400.0
9,35.57711802635145,129.0811407980869,400.0
10,35.58868351831128,129.0754099889571,400.0
11,35.595414901191404,129.06225035317755,400.0
12,35.6235425024266,129.06522188383744,400.0
13,35.61733112238073,129.0747732323871,400.0
